TV,Radio,Social Media,Influencer,Sales
High,24.96773561,6.371890502,Micro,294.6586689
High,22.9553127,2.642504816,Mega,272.6321364
High,27.79645954,3.915785408,Macro,270.3551046
Low,5.24203637,1.379918092,Mega,49.39806523
Low,11.88643795,1.558209074,Micro,82.54907175
Low,4.702788925,1.325031956,Mega,47.20872537
Low,2.2842643,1.365836702,Mega,59.33841514
High,28.21073834,4.373466421,Micro,302.8879982
Medium,23.57866143,2.856656795,Mega,232.5550232
Low,9.169823519,0.067278862,Nano,73.88883844
Low,11.56340328,1.727947024,Nano,121.9495696
Medium,18.81480053,3.440682119,Mega,182.5116139
